year,count,count-exdocs,popularity,rating,rating-pop-weighted
1967,529,480,3.388544,3.766693,46402.119945
1968,590,531,3.402966,3.821731,60257.707766
1969,552,511,3.397337,3.686828,32733.802447
1970,552,503,3.385145,3.620228,40041.360008
1971,597,546,3.388626,3.743433,55477.706030
1972,632,578,3.378339,3.808709,60409.443623
1973,613,578,3.365024,3.775797,61702.011509
1974,607,557,3.365568,3.828532,71144.729440
1975,590,545,3.386949,3.854502,77250.212736
1976,602,552,3.372243,3.748048,56732.605716
1977,613,571,3.371338,3.750938,69360.606975
1978,556,515,3.339892,3.552572,55207.379517
1979,638,589,3.382649,3.796999,64043.851383
1980,616,575,3.334886,3.704090,75176.753996
1981,623,573,3.357817,3.632228,70116.851988
1982,655,601,3.361053,3.674474,71457.481217
1983,692,636,3.357139,3.626149,68583.351662
1984,663,617,3.335671,3.711132,81672.403356
1985,700,646,3.316657,3.748858,99346.078122
1986,752,700,3.305080,3.703353,106864.005288
1987,833,797,3.274010,3.622447,110537.046155
1988,831,784,3.268592,3.676170,104702.840039
1989,830,779,3.289193,3.768782,127690.079809
1990,759,695,3.275231,3.674801,104397.037505
1991,758,710,3.289195,3.730342,95656.726976
1992,769,709,3.345800,3.699332,105926.600205
1993,791,727,3.323628,3.668717,112893.190444
1994,827,733,3.291209,3.721943,131334.035023
1995,865,781,3.323133,3.852189,176457.739220
1996,862,802,3.280580,3.658748,146189.387214
1997,909,831,3.306293,3.758248,187782.979138
1998,984,898,3.301067,3.673556,162365.436557
1999,1020,931,3.312147,3.777272,251332.511649
2000,1098,998,3.284016,3.735671,199413.241538
2001,1162,1029,3.292091,3.714623,231918.390546
2002,1196,1062,3.276488,3.569803,188537.075011
2003,1308,1148,3.289243,3.582763,218781.523334
2004,1420,1240,3.276035,3.666300,299806.176729
2005,1517,1363,3.236869,3.543963,222326.535992
2006,1657,1474,3.220555,3.553901,240998.508281
2007,1776,1565,3.235310,3.557379,266565.985181
2008,1835,1604,3.208294,3.417211,218598.877382
2009,2011,1766,3.188414,3.380132,273490.214725
2010,2058,1773,3.222609,3.480426,273502.104011
2011,2211,1904,3.211782,3.391398,257970.376043
2012,2512,2156,3.200231,3.441318,262783.884322
2013,2672,2293,3.208563,3.491289,290591.984717
2014,2979,2545,3.190722,3.583401,343558.186455
2015,3108,2642,3.177992,3.374247,291297.271848
2016,3475,2978,3.178599,3.474113,367343.600747
2017,3917,3295,3.181968,3.474213,455479.964846
2018,4022,3378,3.184038,3.412399,398155.307820
2019,4382,3646,3.197193,3.453272,525621.322026
2020,3775,3048,3.206509,3.369500,428907.994928
2021,4106,3310,3.208098,3.338537,693922.111858
2022,4699,3905,3.189683,3.368655,978503.685866
2023,4811,4007,3.216705,3.512902,1269303.929730
2024,4408,3617,3.225712,3.338611,1372880.660238
2025,1441,1204,3.255573,3.343405,528025.918664
