rating,count
0.500000,0
0.550000,0
0.600000,0
0.650000,0
0.700000,0
0.750000,0
0.800000,0
0.850000,1
0.900000,0
0.950000,0
1.000000,0
1.050000,4
1.100000,2
1.150000,4
1.200000,4
1.250000,8
1.300000,13
1.350000,20
1.400000,16
1.450000,24
1.500000,54
1.550000,41
1.600000,72
1.650000,54
1.700000,91
1.750000,136
1.800000,98
1.850000,162
1.900000,114
1.950000,154
2.000000,248
2.050000,230
2.100000,219
2.150000,348
2.200000,369
2.250000,536
2.300000,564
2.350000,533
2.400000,718
2.450000,901
2.500000,1298
2.550000,1303
2.600000,1198
2.650000,1655
2.700000,1810
2.750000,2188
2.800000,1899
2.850000,1619
2.900000,2541
2.950000,2597
3.000000,4294
3.050000,3815
3.100000,2834
3.150000,3974
3.200000,5576
3.250000,6981
3.300000,6300
3.350000,4964
3.400000,6367
3.450000,6999
3.500000,6727
3.550000,4873
3.600000,3637
3.650000,3060
3.700000,2133
3.750000,2412
3.800000,1595
3.850000,981
3.900000,1050
3.950000,716
4.000000,636
4.050000,590
4.100000,344
4.150000,382
4.200000,206
4.250000,176
4.300000,171
4.350000,76
4.400000,89
4.450000,29
4.500000,34
4.550000,22
4.600000,14
4.650000,6
4.700000,2
4.750000,0
4.800000,0
4.850000,0
4.900000,0
4.950000,0
